OBJECTID,SEGID,SUBAREAID,FAC_WDAVG,FAC_SPR,FAC_FAL,FAC_SPRFAL,aadtAdjFactor,DYVOL2019,DYVOL2023,DYVOL2028,DYVOL2032,DYVOL2042,DYVOL2050,M2019,M2023,M2028,M2032,M2042,M2050,MF2019,MF2023,MF2028,MF2032,MF2042,MF2050,CO_FIPS,PLANAREA,F_AREA,NOTES_SEG,ADJHIST,ADJ2019,ADJ2023,ADJ2028,ADJ2032,ADJ2042,ADJ2050,OV_REV,OV_LTPRV,OV_ZERO,OV_HIADJ,OV_50LT19,OV_503X19,OV_FURREV,NOTES,NOTES_FURREV,OV_SEG,FL_REV,FL_LTPRV,FL_ZERO,FL_HIADJ,FL_50LT19,FL_503X19,FL_FURREV,FL_SEG,CO_NAME,Shape__Length
1734,0091_033.9,2,1.0924,1.0104,1.0243,1.01735,5044,28780.0,28219.0,31357.0,33974.0,38463.0,37220.0,26346,25832,28705,31100,35210,34072,31500,31000,33500,36000,40500,39000,5,Cache,Cache,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,1,1,0,0,0,0,0,0,Cache,309.108445629435
1735,0091_034.0,2,1.012,0.9654,1.0162,0.9908,-7675,22667.1,22276.7,23420.1,25076.6,28065.3,28988.5,22398,22013,23142,24779,27733,28645,14500,14500,15500,17000,20000,21000,5,Cache,Cache,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,1,1,0,0,0,0,0,0,Cache,7720.54028556283
1736,0091_037.6,2,1.012,0.9654,1.0162,0.9908,-6636,21615.8,21214.8,21916.9,23431.5,25872.5,27417.4,21359,20963,21657,23154,25566,27092,14500,14500,15000,16500,19000,20500,5,UDOT,Cache,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,1,1,0,0,0,0,0,0,Cache,3411.07630822865
1737,0091_039.2,2,1.0918,1.0107,1.0324,1.02155,-2849,19615.3,19278.8,20549.5,21732.0,24097.3,26160.5,17966,17658,18822,19905,22071,23961,15000,15000,16000,17000,19000,21000,5,UDOT,Cache,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,1,1,0,0,0,0,0,0,Cache,1798.33646776725
1738,0091_040.0,2,1.0918,1.0107,1.0324,1.02155,-1912,14570.5,14329.9,15539.0,16315.0,16324.9,17861.6,13345,13125,14232,14943,14952,16360,11500,11000,12500,13000,13000,14500,5,UDOT,Cache,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,1,1,0,0,0,0,0,0,Cache,3112.67587628621
1739,0091_041.4,2,1.0918,1.0107,1.0324,1.02155,-702,13249.0,13057.0,14261.0,14951.0,14925.0,16298.0,12135,11959,13062,13694,13670,14928,11500,11500,12500,13000,13000,14000,5,UDOT,Cache,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,1,0,0,0,0,0,0,0,Cache,1318.19443555914
1740,0091_042.0,2,0.9593,0.9859,1.003,0.99445,-1355,12267.1,12093.6,13193.4,13824.9,13637.2,14802.7,12788,12607,13753,14411,14216,15431,11500,11500,12500,13000,13000,14000,5,UDOT,Cache,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,1,0,0,0,0,0,0,0,Cache,2475.17635673796
1741,0091_043.2,2,0.9593,0.9859,1.003,0.99445,-1189,12108.0,11973.0,13026.0,13625.0,13389.0,14445.0,12622,12481,13579,14203,13957,15058,11500,11500,12500,13000,13000,14000,5,UDOT,Cache,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,1,0,0,0,0,0,0,0,Cache,1085.83444511955
1742,0091_043.7,2,0.9593,0.9859,1.003,0.99445,-657,8741.4,8855.4,9413.6,9940.9,11361.9,12439.5,9112,9231,9813,10363,11844,12967,8500,8600,9200,9700,11000,12500,5,UDOT,Cache,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,1,0,0,0,0,0,0,0,Cache,3403.46621719721
1743,0092_000.0,1,1.0946,1.0117,1.0095,1.0106,1277,29329.7,20605.4,21419.6,38932.5,44156.6,38919.4,26795,18825,19568,35568,40340,35556,28000,20000,21000,37000,41500,37000,49,MAG,MAG,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,th,,0,0,1,0,0,0,0,0,0,Utah,255.792134747964
1744,0092_000.1,1,1.0946,1.0117,1.0095,1.0106,0,66773.1,52365.4,55662.8,62235.9,64036.3,63636.8,61002,47840,50852,56857,58502,58137,61000,48000,51000,57000,58500,58000,49,MAG,MAG,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,Volume reflects east side of I-15.  th,Seg should be split at I-15.,0,0,1,0,0,1,0,1,0,Utah,756.671034433864
1745,0092_000.5,1,1.0946,1.0117,1.0095,1.0106,-25326,58449.0,55761.5,58537.9,59384.7,60848.8,71018.5,53398,50942,53479,54252,55590,64881,28000,25500,28000,29000,30500,39500,49,MAG,MAG,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,1,1,0,0,0,0,0,0,Utah,653.024384127653
1746,0092_000.8,1,1.0946,1.0117,1.0095,1.0106,-38840,69893.2,69555.5,70243.4,72856.0,75335.5,73816.6,63853,63544,64173,66559,68825,67437,25000,24500,25500,27500,30000,28500,49,MAG,MAG,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,1,1,0,1,0,0,0,0,Utah,1350.82096717786
1747,0092_001.4,1,1.0924,1.0104,1.0243,1.01735,-10686,38997.8,39963.1,43028.9,44105.0,46095.8,57841.7,35699,36583,39389,40374,42197,52949,25000,26000,28500,29500,31500,42500,49,MAG,MAG,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,1,0,0,0,0,0,0,0,Utah,2133.94609329432
1748,0092_002.4,1,1.0924,1.0104,1.0243,1.01735,-30542,60688.6,59958.7,66262.0,66500.9,68817.8,86777.6,55555,54887,60657,60876,62997,79438,25000,24500,30000,30500,32500,49000,49,MAG,MAG,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,1,1,0,1,0,0,0,0,Utah,2132.46437941363
1749,0092_003.4,1,1.0924,1.0104,1.0243,1.01735,-2683,30255.6,30007.0,33060.7,32428.0,33601.6,41557.8,27696,27469,30264,29685,30759,38043,25000,25000,27500,27000,28000,35500,49,MAG,MAG,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,1,1,0,0,0,0,0,0,Utah,994.244852808515
1750,0092_003.9,1,1.0918,1.0107,1.0324,1.02155,-8172,37353.2,35525.1,38744.6,40179.4,40564.6,48184.4,34212,32538,35487,36801,37154,44133,26000,24500,27500,28500,29000,36000,49,MAG,MAG,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,1,1,0,0,0,0,0,0,Utah,2184.54097954414
1751,0092_004.9,1,1.0924,1.0104,1.0243,1.01735,-476,24440.4,22078.9,23613.8,24781.2,25609.5,28846.5,22373,20211,21616,22685,23443,26407,22000,19500,21000,22000,23000,26000,49,MAG,MAG,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,1,1,0,0,0,0,0,0,Utah,1880.47162554603
1752,0092_005.8,1,1.0918,1.0107,1.0324,1.02155,1088,19514.4,14456.9,16435.8,17539.2,18366.5,20812.8,17874,13241,15054,16064,16822,19063,19000,14500,16000,17000,18000,20000,49,MAG,MAG,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,1,1,0,0,0,0,0,0,Utah,1308.73233069535
1753,0092_006.4,1,1.0918,1.0107,1.0324,1.02155,6285,5111.9,4454.1,4799.4,5439.7,5203.5,5357.1,4682,4080,4396,4982,4766,4907,11000,10500,10500,11500,11000,11000,49,MAG,MAG,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,1,1,0,0,0,0,0,0,Utah,1708.51713327508
1754,0092_007.3,1,1.0924,1.0104,1.0243,1.01735,6787,4566.2,3837.1,4179.0,4777.4,4578.8,4635.8,4180,3513,3826,4373,4192,4244,11000,10500,10500,11000,11000,11000,49,MAG,MAG,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,1,1,0,0,0,0,0,0,Utah,700.849683091919
1755,0092_007.6,1,0.7152,0.6502,1.1079,0.87905,1521,382.1,396.9,434.1,492.5,515.1,523.3,534,555,607,689,720,732,2100,2100,2100,2200,2200,2300,49,UDOT,MAG,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,1,0,0,0,0,0,0,0,Utah,5558.65452115491
1756,0092_010.2,1,0.7152,0.6502,1.1079,0.87905,191,347.1,365.9,404.1,471.5,491.1,498.3,485,512,565,659,687,697,700,700,750,850,900,900,49,UDOT,MAG,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,1,0,0,0,0,0,0,0,Utah,5182.92712768843
1757,0092_012.7,1,0.7152,0.6502,1.1079,0.87905,191,347.1,365.9,404.1,471.5,491.1,498.3,485,512,565,659,687,697,700,700,750,850,900,900,49,UDOT,MAG,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,1,0,0,0,0,0,0,0,Utah,13000.2505588387
1758,0092_018.8,1,0.7152,0.6502,1.1079,0.87905,328,249.1,247.9,277.2,335.5,359.1,335.3,348,347,388,469,502,469,700,700,700,800,850,800,49,UDOT,MAG,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,1,1,0,0,0,0,0,0,Utah,8130.66165652533
1759,0092_022.7,1,0.7152,0.6502,1.1079,0.87905,-777,2206.2,2371.5,2456.0,2511.6,2676.1,2742.3,3085,3316,3434,3512,3742,3834,2300,2500,2700,2700,3000,3100,49,UDOT,MAG,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,1,0,0,0,0,0,0,0,Utah,9817.80642995556
1760,0093_000.0,1,1.0924,1.0104,1.0243,1.01735,8532,24990.3,24869.3,25772.6,25543.0,26302.5,26193.6,22877,22766,23593,23382,24078,23978,31500,31500,32000,32000,32500,32500,11,WFRC,WFRC,,0.0,0,0,-500,0,0,0,0,0,0,0,0,0,0,Smoothing,,0,0,0,0,0,0,0,0,0,Davis,143.453649441346
1761,0093_000.1,1,1.0946,1.0117,1.0095,1.0106,56,34319.3,35949.7,36819.0,32404.9,33526.8,36608.4,31353,32843,33637,29604,30629,33445,31500,33000,33500,29500,30500,33500,11,WFRC,WFRC,,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,Additional capacity on I-15 in 2032,,0,0,1,0,0,0,0,0,0,Davis,640.109942137561
1762,0094_000.0,0,0.984,1.0276,1.0316,1.0296,925,6.6,10.0,9.1,8.8,9.7,10.7,7,10,9,9,10,11,950,950,950,950,950,950,19,UDOT,UDOT,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,1,0,0,1,0,0,0,0,Grand,1985.31738636201
1763,0095_000.0,0,0.9574,1.0068,1.0295,1.01815,491,267.7,275.7,291.2,306.9,344.3,358.4,280,288,304,321,360,374,750,800,800,800,850,850,55,UDOT,UDOT,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,1,0,0,0,0,0,0,0,Wayne,20332.8343255544
1764,0095_009.9,0,0.9574,1.0068,1.0295,1.01815,538,222.7,239.0,255.7,271.3,306.4,322.0,233,250,267,283,320,336,750,800,800,800,850,850,55,UDOT,UDOT,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,1,0,0,0,0,0,0,0,Wayne,12831.6342964081
1765,0095_016.1,0,0.9574,1.0068,1.0295,1.01815,538,222.7,239.0,255.7,271.3,306.4,322.0,233,250,267,283,320,336,750,800,800,800,850,850,17,UDOT,UDOT,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,1,0,0,0,0,0,0,0,Garfield,20412.14296843
1766,0095_026.1,0,0.9574,1.0068,1.0295,1.01815,-158,423.5,439.2,461.4,481.1,526.3,549.2,442,459,482,503,550,574,300,300,300,350,400,400,17,UDOT,UDOT,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,1,0,0,0,0,0,0,0,Garfield,43547.8217628898
1767,0095_047.3,0,0.9574,1.0068,1.0295,1.01815,-158,423.5,439.2,461.4,481.1,526.3,549.2,442,459,482,503,550,574,300,300,300,350,400,400,37,UDOT,UDOT,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,1,0,0,0,0,0,0,0,San Juan,2237.75683535654
1768,0095_048.4,0,0.9574,1.0068,1.0295,1.01815,-255,423.5,439.2,461.4,481.1,526.3,549.2,442,459,482,503,550,574,200,200,250,250,300,300,37,UDOT,UDOT,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,1,0,0,1,0,0,0,0,San Juan,71371.6256011443
1769,0095_083.5,0,0.9574,1.0068,1.0295,1.01815,65,344.6,360.5,375.4,390.9,421.8,437.3,360,377,392,408,441,457,400,450,450,450,500,500,37,UDOT,UDOT,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,1,0,0,0,0,0,0,0,San Juan,15450.6421385932
1770,0095_091.1,0,0.9574,1.0068,1.0295,1.01815,153,344.6,360.5,375.4,390.9,421.8,437.3,360,377,392,408,441,457,500,550,550,550,600,600,37,UDOT,UDOT,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,1,0,0,0,0,0,0,0,San Juan,3649.56746927621
1771,0095_092.9,0,0.9574,1.0068,1.0295,1.01815,315,190.0,193.7,202.0,209.3,227.8,240.9,198,202,211,219,238,252,500,500,550,550,550,550,37,UDOT,UDOT,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,1,1,0,0,0,0,0,0,San Juan,57668.7507110938
1772,0096_000.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,7,UDOT,UDOT,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,1,0,1,0,0,0,0,0,Carbon,5742.57847621965
1773,0096_002.7,0,0.9555,0.8719,0.9353,0.9036,-163,687.9,707.4,659.4,649.3,660.6,677.8,720,740,690,680,691,709,550,600,550,500,550,550,7,UDOT,UDOT,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,1,1,0,0,1,0,0,0,Carbon,551.141805954471
1774,0096_003.0,0,0.9555,0.8719,0.9353,0.9036,1169,568.3,570.6,551.7,550.4,550.4,561.0,595,597,577,576,576,587,1800,1800,1700,1700,1700,1800,7,UDOT,UDOT,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,1,1,0,0,0,0,0,0,Carbon,6828.47967805555
1775,0096_006.2,0,0.9555,0.8719,0.9353,0.9036,1612,232.8,233.6,223.2,223.7,232.7,241.7,244,244,234,234,244,253,1900,1900,1800,1800,1900,1900,7,UDOT,UDOT,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,1,1,0,0,0,0,0,0,Carbon,15490.9954706969
1776,0096_013.6,1,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,49,UDOT,MAG,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,1,0,1,0,0,0,0,0,Utah,393.298382349035
1777,0096_013.8,1,0.9555,0.8719,0.9353,0.9036,-1016,1645.0,1720.0,1778.0,1819.0,1917.0,2049.0,1722,1800,1861,1904,2006,2144,700,800,850,900,1000,1100,49,UDOT,MAG,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,1,0,0,1,0,0,0,0,Utah,18768.3610401026
1778,0097_000.0,1,1.0918,1.0107,1.0324,1.02155,7089,4315.8,5185.8,5479.4,5710.6,10771.6,12808.6,3953,4750,5019,5230,9866,11732,11000,12000,12000,12500,17000,19000,57,WFRC,WFRC,,0.0,0,-500,0,0,0,0,0,0,0,0,0,0,0,West Weber extended in 2042,,0,0,0,0,0,0,0,0,0,Weber,1103.68936945626
1779,0097_000.5,1,1.0918,1.0107,1.0324,1.02155,4368,7287.1,8568.1,9470.1,10174.5,15412.4,18639.0,6674,7848,8674,9319,14117,17072,11000,12000,13000,13500,18500,21500,57,WFRC,WFRC,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,West Weber extended in 2042,,0,0,0,0,0,0,0,0,0,Weber,1219.61659643157
1780,0097_001.1,1,1.0918,1.0107,1.0324,1.02155,4342,7315.5,8494.9,9087.3,9574.8,17115.9,23907.0,6700,7781,8323,8770,15677,21897,11000,12000,12500,13000,20000,26000,57,WFRC,WFRC,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,West Weber extended in 2042,,0,0,0,0,0,0,0,0,0,Weber,964.36951547033
1781,0097_001.5,1,1.0918,1.0107,1.0324,1.02155,2018,9851.9,11381.4,13101.4,13468.3,18847.6,25987.5,9024,10424,12000,12336,17263,23802,11000,12500,14000,14500,19500,26000,57,WFRC,WFRC,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,West Weber extended in 2042,,0,0,0,0,0,0,0,0,0,Weber,1062.96054762827
1782,0097_002.0,1,1.0924,1.0104,1.0243,1.01735,-711,15648.3,17724.0,20052.7,19621.1,21862.3,27858.9,14325,16225,18357,17961,20013,25502,13500,15500,17500,17000,19500,25000,57,WFRC,WFRC,,0.0,0,-500,-1000,500,0,0,0,0,0,0,0,0,0,Smoothing,,0,0,0,0,0,0,0,0,0,Weber,2228.16357618409
1783,0097_003.1,1,1.0924,1.0104,1.0243,1.01735,431,19676.7,20944.2,28037.6,28172.8,37035.3,41173.8,18012,19173,25666,25790,33903,37691,18500,19500,26000,26000,34500,38000,57,WFRC,WFRC,,0.0,0,0,-3000,1000,0,0,0,0,0,0,0,0,0,Smoothing,,0,0,0,0,0,0,0,0,0,Weber,1072.36763895755
1784,0097_003.6,1,1.0924,1.0104,1.0243,1.01735,-1376,21649.8,23476.2,31277.5,30421.0,39895.6,44191.4,19819,21490,28632,27848,36521,40453,18500,20000,27500,26500,35000,39000,57,WFRC,WFRC,,0.0,0,0,-4000,0,0,0,0,0,0,0,0,0,0,Smoothing,,0,0,0,0,0,0,0,0,0,Weber,1066.12734677149
1785,0097_004.1,1,1.0924,1.0104,1.0243,1.01735,-3283,24997.2,26590.3,34739.5,34181.3,43202.2,47724.6,22883,24341,31801,31290,39548,43688,19500,21000,28500,28000,36500,40500,57,WFRC,WFRC,,0.0,0,0,-4000,0,0,0,0,0,0,0,0,0,0,Smoothing,,0,0,0,0,0,0,0,0,0,Weber,693.708212222645
1786,0097_004.4,1,1.0924,1.0104,1.0243,1.01735,-3269,28601.0,30232.4,38755.8,37988.0,46173.8,50784.9,26182,27675,35478,34775,42268,46489,23000,24500,32000,31500,39000,43000,57,WFRC,WFRC,,0.0,0,0,-4000,0,0,0,0,0,0,0,0,0,0,Smoothing,,0,0,0,0,0,0,0,0,0,Weber,1440.37333596724
1787,0097_005.1,1,1.0924,1.0104,1.0243,1.01735,-10850,51451.1,55170.4,52374.8,46430.6,49419.8,57715.7,47099,50504,47945,42503,45240,52834,36000,39500,37000,31500,34500,42000,57,WFRC,WFRC,,0.0,0,-2000,1500,7500,6500,0,0,0,0,0,0,0,0,New 1800 N interchange in 2028,,0,0,0,0,0,0,0,0,0,Weber,358.447551585982
1788,0097_005.3,1,1.0924,1.0104,1.0243,1.01735,14194,24092.8,35306.6,41602.1,33493.0,34366.5,33542.7,22055,32320,38083,30660,31460,30706,36000,46500,52500,45000,45500,45000,57,WFRC,WFRC,,0.0,0,-8000,-10000,0,-500,500,0,0,0,0,0,0,0,Smoothing,,0,0,0,0,0,0,0,0,0,Weber,174.952492144402
1789,0099_000.0,0,1.0918,1.0107,1.0324,1.02155,685,2025.3,2328.9,2338.9,2330.4,2289.3,2280.6,1855,2133,2142,2134,2097,2089,2500,2800,2800,2800,2800,2800,27,UDOT,UDOT,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,1,0,0,0,0,0,0,0,Millard,892.445567634875
1790,0099_000.4,0,1.0918,1.0107,1.0324,1.02155,185,3081.2,3306.5,3306.1,3273.2,3205.8,3168.3,2822,3028,3028,2998,2936,2902,3000,3200,3200,3200,3100,3100,27,UDOT,UDOT,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,1,1,0,0,0,0,0,0,Millard,2587.42314796779
1791,0099_001.7,0,1.0918,1.0107,1.0324,1.02155,3335,2910.0,3070.8,3059.5,3025.0,2961.2,2908.8,2665,2813,2802,2771,2712,2664,6000,6100,6100,6100,6000,6000,27,UDOT,UDOT,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,1,1,0,0,0,0,0,0,Millard,1042.22963312207
1792,0099_002.2,0,1.0918,1.0107,1.0324,1.02155,2846,3443.4,3510.2,3468.8,3422.0,3346.5,3282.4,3154,3215,3177,3134,3065,3006,6000,6100,6000,6000,5900,5900,27,UDOT,UDOT,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,1,1,0,0,1,0,0,0,Millard,1873.30594909269
1793,0099_003.1,0,1.0918,1.0107,1.0324,1.02155,1455,1960.4,1988.1,1911.5,1903.8,1892.5,1875.7,1796,1821,1751,1744,1733,1718,3300,3300,3200,3200,3200,3200,27,UDOT,UDOT,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,1,1,0,0,1,0,0,0,Millard,611.32356750433
1794,0099_003.4,0,1.0918,1.0107,1.0324,1.02155,1609,1271.6,1331.6,1252.1,1262.5,1281.6,1279.2,1165,1220,1147,1156,1174,1172,2800,2800,2800,2800,2800,2800,27,UDOT,UDOT,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,1,0,0,0,0,0,0,0,Millard,1082.95866640029
1795,0099_003.9,0,0.9593,0.9859,1.003,0.99445,1665,1064.2,1129.3,1048.6,1055.5,1083.1,1079.0,1109,1177,1093,1100,1129,1125,2800,2800,2800,2800,2800,2800,27,UDOT,UDOT,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,1,0,0,0,0,0,0,0,Millard,564.637856588707
1796,0100_000.0,0,1.0918,1.0107,1.0324,1.02155,667,600.7,736.1,701.6,693.7,703.6,698.1,550,674,643,635,644,639,1200,1300,1300,1300,1300,1300,27,UDOT,UDOT,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,1,0,0,0,0,0,0,0,Millard,3252.38875846434
1797,0100_001.6,0,0.984,1.0276,1.0316,1.0296,11,680.9,707.8,688.2,680.8,660.6,646.1,692,719,699,692,671,657,700,750,700,700,700,650,27,UDOT,UDOT,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,1,1,0,0,1,0,0,0,Millard,2200.45529166858
1798,0100_002.6,0,0.984,1.0276,1.0316,1.0296,64,628.7,651.8,633.8,626.5,608.4,594.1,639,662,644,637,618,604,700,750,700,700,700,650,27,UDOT,UDOT,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,1,1,0,0,1,0,0,0,Millard,4194.71033577176
1799,0100_004.7,0,0.984,1.0276,1.0316,1.0296,237,471.0,611.7,833.8,561.9,601.9,697.4,479,622,847,571,612,709,700,850,1100,800,850,950,27,UDOT,UDOT,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,1,1,0,0,0,0,0,0,Millard,6386.39952042321
1800,0100_007.7,0,0.984,1.0276,1.0316,1.0296,299,410.7,543.3,767.6,496.1,534.0,634.6,417,552,780,504,543,645,700,850,1100,800,850,950,27,UDOT,UDOT,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,1,1,0,0,0,0,0,0,Millard,2049.80141153623
1801,0100_008.7,0,0.984,1.0276,1.0316,1.0296,304,405.3,537.4,760.1,489.9,527.0,628.2,412,546,772,498,536,638,700,850,1100,800,850,950,27,UDOT,UDOT,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,1,1,0,0,0,0,0,0,Millard,17091.2511019269
1802,0101_000.0,2,1.0918,1.0107,1.0324,1.02155,485,3886.5,3882.6,4482.7,4892.8,5390.7,5959.6,3560,3556,4106,4481,4937,5459,4000,4000,4600,5000,5400,5900,5,Cache,Cache,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,1,1,0,0,0,0,0,0,Cache,2616.24693369237
1803,0101_001.2,2,0.9593,0.9859,1.003,0.99445,2020,3742.9,3734.4,4309.0,4874.0,5198.9,6163.7,3902,3893,4492,5081,5419,6425,5900,5900,6500,7100,7400,8400,5,Cache,Cache,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,1,1,0,0,0,0,0,0,Cache,5449.14480701955
1804,0101_003.7,2,1.0924,1.0104,1.0243,1.01735,617,3060.2,3047.9,3625.2,3673.8,3232.5,3820.0,2801,2790,3319,3363,2959,3497,3400,3400,3900,4000,3600,4100,5,Cache,Cache,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,1,1,0,0,0,0,0,0,Cache,933.198135505194
1805,0101_004.2,2,1.0924,1.0104,1.0243,1.01735,1225,2395.8,2388.8,2580.5,2466.3,1518.2,1870.7,2193,2187,2362,2258,1390,1712,3400,3400,3600,3500,2600,2900,5,Cache,Cache,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,1,1,0,0,1,0,0,0,Cache,1859.35058464509
1806,0101_005.0,2,1.0918,1.0107,1.0324,1.02155,1331,2278.2,2233.3,2039.9,2094.8,2396.6,3310.6,2087,2046,1868,1919,2195,3032,3400,3400,3200,3200,3500,4400,5,Cache,Cache,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,1,1,0,0,0,0,0,0,Cache,1904.91649981124
1807,0101_005.9,2,1.0918,1.0107,1.0324,1.02155,-1646,5860.0,5886.0,4638.0,4898.0,5677.0,6612.0,5367,5391,4248,4486,5200,6056,3700,3700,2600,2800,3600,4400,5,Cache,Cache,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,1,1,0,0,0,0,0,0,Cache,972.377769978011
1808,0101_006.4,2,0.9555,0.8719,0.9353,0.9036,-212,559.3,570.1,778.7,962.8,1429.2,1796.9,585,597,815,1008,1496,1881,350,400,600,800,1300,1700,5,Cache,Cache,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,1,0,0,0,0,1,0,0,Cache,6883.90477970575
1809,0101_009.6,2,0.9555,0.8719,0.9353,0.9036,258,110.0,110.0,124.0,134.0,164.0,178.0,115,115,130,140,172,186,350,350,400,400,450,450,5,UDOT,Cache,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,1,1,0,0,0,0,0,0,Cache,7495.90416396977
1810,0101_013.1,2,0.9555,0.8719,0.9353,0.9036,258,110.0,110.0,124.0,134.0,164.0,178.0,115,115,130,140,172,186,350,350,400,400,450,450,5,UDOT,Cache,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,1,1,0,0,0,0,0,0,Cache,17691.0969794033
1811,0101_021.3,2,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,5,UDOT,Cache,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,1,0,1,0,0,0,0,0,Cache,1073.15634192859
1812,0102_000.0,0,0.984,1.0276,1.0316,1.0296,164,263.7,233.7,235.5,244.8,249.8,248.9,268,238,239,249,254,253,450,400,400,400,400,400,3,UDOT,UDOT,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,1,1,0,0,1,0,0,0,Box Elder,20355.0158747329
