SEGID,AADT1981,AADT1982,AADT1983,AADT1984,AADT1985,AADT1986,AADT1987,AADT1988,AADT1989,AADT1990,AADT1991,AADT1992,AADT1993,AADT1994,AADT1995,AADT1996,AADT1997,AADT1998,AADT1999,AADT2000,AADT2001,AADT2002,AADT2003,AADT2004,AADT2005,AADT2006,AADT2007,AADT2008,AADT2009,AADT2010,AADT2011,AADT2012,AADT2013,AADT2014,AADT2015,AADT2016,AADT2017,AADT2018,AADT2019,AADT2020,AADT2021
2878_004.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,2000,1990,1980,1975,1935,1885,1910,1990,2095,2152,2174,2213,1976,2142
2878_004.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000,1053,1081,1092,1112,993,1076
2878_005.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000,995,990,985,965,945,955,995,1047,1075,1086,1106,988,1071
2878_005.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000,995,990,985,965,945,955,995,1047,1075,1086,1106,988,1071
2878_006.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000,1053,1081,1092,1112,993,1076
2878_007.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000,1053,1081,1092,1112,993,1076
2880_000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1000,950,945,940,470,460,450,455,475,500,514,519,528,472,512
2880_000.5,,,,,,,,,,,,,,,,,,,,,,,,,,,1000,950,945,940,470,460,450,455,475,500,514,519,528,472,512
2880_001.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1000,950,945,940,470,460,450,455,475,500,514,519,528,472,512
2880_001.5,,,,,,,,,,,,,,,,,,,,,,,,,,,1000,950,945,940,470,460,450,455,475,500,514,519,528,472,512
2880_002.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1000,950,945,940,470,460,450,455,475,500,514,519,528,472,512
2880_002.6,,,,,,,,,,,,,,,,,,,,,,,,,,,1000,950,945,940,940,920,895,905,945,995,1022,1032,1051,939,1018
2880_003.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1000,950,945,940,940,920,895,905,945,995,1022,1032,1051,939,1018
2881_000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1500,1465,1480,1545,1625,1669,1686,1716,1532,1661
2881_001.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1500,1465,1480,1545,1625,1669,1686,1716,1532,1661
2881_002.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1500,1465,1480,1545,1625,1669,1686,1716,1532,1661
2881_002.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1500,1465,1480,1545,1625,1669,1686,1716,1532,1661
2881_003.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1500,1465,1480,1545,1625,1669,1686,1716,1532,1661
2881_004.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1500,1465,1480,1545,1625,1669,1686,1716,1532,1661
2881_005.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1500,1465,1480,1545,1625,1669,1686,1716,1532,1661
2881_006.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1500,1465,1480,1545,1625,1669,1686,1716,1532,1661
2881_007.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1500,1465,1480,1545,1625,1669,1686,1716,1532,1661
2881_008.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1500,1465,1480,1545,1625,1669,1686,1716,1532,1661
2881_009.7,,,,,,,,,,,,,,,,,,,,,,,,,,,1000,950,945,940,16700,16365,15955,16135,16830,17721,18199,18381,18712,16710,18114
2881_010.3,,,,,,,,,,,,,,,,,,,,,,,,,,,1000,950,945,940,16700,16365,15955,16135,16830,17721,18199,18381,18712,16710,18114
2881_010.8,,,,,,,,,,,,,,,,,,,,,,,,,,,1000,950,945,940,16700,16365,15955,16135,16830,17721,18199,18381,18712,16710,18114
2881_011.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16135,16830,17721,18199,18381,18712,16710,18114
2882_000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1000,950,945,940,785,765,750,755,790,831,853,862,878,784,850
2882_000.5,,,,,,,,,,,,,,,,,,,,,,,,,,,1000,950,945,940,785,765,750,755,790,831,853,862,878,784,850
2882_001.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1000,950,945,940,785,765,750,755,790,831,853,862,878,784,850
2882_001.5,,,,,,,,,,,,,,,,,,,,,,,,,,,1000,950,945,940,785,765,750,755,790,831,853,862,878,784,850
2883_007.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000,1000,1000,1000,1000
2883_008.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000,1000,1000,1000,1000
2884_000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1630,1671,1701,1518,1646
2885_000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500,500,500,500,500
2886_000.0,,,,,,,,,,,,,,,,,,,,,,,6955,4550,4540,4740,4805,4570,7490,7460,7435,7290,7105,7185,7495,7890,8103,8184,8331,7440,8065
2886_000.2,,,,,,,,,,,,,,,,,,,,,,,6955,4550,4540,4740,2950,2805,2790,2930,2920,2865,2790,2820,2945,3099,3183,3215,3273,2923,3169
2886_000.3,,,,,,,,,,,,,,,,,,,,,,,6955,4550,4540,4740,2950,2805,2790,2930,2920,2865,2790,2820,2945,3099,3183,3215,3273,2923,3169
2886_000.6,,,,,,,,,,,,,,,,,,,,,,,7775,7825,7805,8150,8265,2915,2895,2885,2460,2410,2350,2380,2480,2611,2681,2708,2757,2462,2669
2886_002.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,10,10,10,11
2886_003.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,10,10,10,11
2887_000.0,1325,1350,1365,1385,1395,1395,1395,2380,2380,2600,2595,2710,2735,2855,2360,2385,2445,2605,2813,2795,2815,3005,4625,5905,5890,6150,6235,5930,5895,5870,5850,5735,5590,5655,5895,6210,6378,6442,6558,5856,6348
2887_000.7,1325,1350,1365,1385,1395,1395,1395,2380,2380,2600,2595,2710,2735,2855,2360,2385,2445,2605,2813,2795,2815,3005,4625,5905,5890,6150,6235,5930,5895,5870,5850,5735,5590,5655,5895,6210,6378,6442,6558,5856,6348
2888_000.0,,,,,,,,,,,,,,,,,,,,,,,4546,4575,4565,4770,4835,4600,8160,8125,8105,7940,7740,7825,8165,8597,8829,8917,9078,8107,8788
2888_000.8,,,,,,,,,,,,,,,,,,,,,,,4546,4575,4565,4770,4835,4600,8160,8125,8105,7940,7740,7825,8165,8597,8829,8917,9078,8107,8788
2888_001.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000,1000,1000,1000,1000
2888_001.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000,1000,1000,1000,1000
2889_000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1000,950,945,940,7530,7375,7195,10410,10860,11435,11744,11861,12074,10782,11688
2889_001.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000,1000,1000,1000,1000
2889_002.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000,1000,1000,1000,1000
2890_000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1000,950,945,940,940,920,895,905,945,995,1022,1032,1051,939,1018
2890_000.3,,,,,,,,,,,,,,,,,,,,,,,,,,,1000,950,945,940,940,920,895,905,945,995,1022,1032,1051,939,1018
2890_000.8,,,,,,,,,,,,,,,,,,,,,,,,,,,1000,950,945,940,940,920,895,905,945,995,1022,1032,1051,939,1018
2890_001.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1000,950,945,940,940,920,895,905,945,995,1022,1032,1051,939,1018
2893_000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500,500,500,500,500
2893_000.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500,500,500,500,500
2893_001.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500,500,500,500,500
2893_002.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500,500,500,500,500
2894_000.0,,,,,,,,,,,,,,,,,,,,,,,5810,5845,5865,6125,5930,5640,5605,5585,5570,5455,5320,5380,5610,5908,6068,6129,6239,5571,6039
2894_000.9,,,,,,,,,,,,,,,,,,,,,,,3755,3780,3770,5330,5405,5140,5110,5090,5075,4975,5655,5720,5965,6281,6451,6516,6633,5923,6421
2894_001.4,,,,,,,,,,,,,,,,,,,,,,,3755,3780,3770,5330,5405,5140,5110,5090,5075,4975,5655,5720,5965,6281,6451,6516,6633,5923,6421
2894_001.7,,,,,,,,,,,,,,,,,,,,,,,3755,3780,3770,5330,5405,5140,5110,5090,5075,4975,5655,5720,5965,6281,6451,6516,6633,5923,6421
2894_001.9,,,,,,,,,,,,,,,,,,,,,,,3755,3780,3770,5330,5405,5140,5110,5090,5075,4975,5655,5720,5965,6281,6451,6516,6633,5923,6421
2895_000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20000,21430,22371,22975,23783,24020,20897,23154
2895_000.9,3175,3240,3275,3350,3375,3420,3465,2285,1680,3200,4245,4435,4595,3275,4000,4135,4300,5590,5860,5725,12385,11775,11565,21520,23065,19040,20980,20185,20780,20800,12855,13340,13690,14290,14990,15650,16073,16282,16445,14307,15852
2895_001.3,3175,3240,3275,3350,3375,3420,3465,2285,1680,3200,4245,4435,4595,3275,4000,4135,4300,5590,5860,5725,12385,11775,11565,21520,23065,19040,20980,20185,20780,20800,12855,13340,13690,14290,14990,15650,16073,16282,16445,14307,15852
2895_002.4,3175,3240,3275,3350,3375,3420,3465,2285,1680,3200,4245,4435,4595,3275,4000,4135,4300,5590,5790,5725,12385,11775,11565,21520,23065,26660,29380,28265,21845,21870,13515,13475,13825,14430,15140,15805,16232,16443,16607,14448,16008
2895_002.9,3175,3240,3275,3350,3375,3420,3465,2285,1680,3200,4245,4435,4595,3275,4000,4135,4300,5590,5790,5725,12385,11775,11565,21520,23065,26660,29380,28265,21845,21870,13515,13475,13825,14430,15140,15805,16232,16443,16607,14448,16008
2895_003.5,7075,7215,7300,7460,7515,7620,7725,7760,7910,8310,5965,6155,8250,7700,8130,8220,8415,16705,18075,22460,22610,24500,24065,23745,23715,26755,29485,28365,21930,21950,13570,13530,13880,14490,15200,15871,16300,16512,16677,14509,16076
2895_004.0,4525,4615,4675,4775,4810,4875,4940,4965,5060,5460,3920,6155,8250,7700,8130,8220,8415,16705,18075,22460,22610,24500,24065,23745,23715,24070,24405,23480,23645,23670,22980,7450,7645,7980,8370,8739,8975,9092,9183,7989,8852
2895_004.4,4525,4615,4675,4775,4810,4875,4940,4965,5060,5460,3920,6155,8250,7700,8130,8220,8415,16705,18075,22460,22610,24500,24065,23745,23715,24070,24405,23480,23645,23670,22980,7450,7645,7980,8370,8739,8975,9092,9183,7989,8852
2895_004.8,4525,4615,4675,4775,4810,4875,4940,4965,5060,5460,3920,6155,8250,7700,8130,8220,8415,16705,18075,22460,22610,24500,24065,23745,23715,24070,24405,23480,23645,23670,22980,7450,7645,7980,8370,8739,8975,9092,9183,7989,8852
2896_000.0,,,,,,,,,,,,,,,,,,,,,,,6166,6205,6185,5190,5495,5230,5195,5875,5860,5740,5595,5660,5900,6215,6383,6447,6563,5861,6353
2896_000.5,,,,,,,,,,,,,,,,,,,,,,,4785,4815,4800,4815,4880,4645,4615,4595,4275,4190,4085,4130,4305,4535,4657,4704,4789,4277,4636
2896_001.3,,,,,,,,,,,,,,,,,,,,,,,4785,4815,4800,4815,4880,4645,3630,3615,3600,3530,3440,3480,3630,3822,3925,3964,4035,3603,3906
2896_001.8,,,,,,,,,,,,,,,,,,,,,,,4857,1380,1380,1445,1465,1395,1385,1380,1375,1350,1315,1330,1385,1458,1497,1512,1539,1374,1489
2897_000.0,,,,,,,,,,,,,,,,,,,,,,,7510,6045,6030,6300,6445,6130,6090,5905,5885,5770,5420,5480,5715,6019,6182,6244,6356,5676,6153
2897_000.4,,,,,,,,,,,,,,,,,,,,,,,4870,4900,4885,6180,6265,5960,5925,5900,5880,5765,5620,5680,5925,6240,6408,6472,6588,5883,6377
2897_001.3,,,,,,,,,,,,,,,,,,,,,,,4857,4890,4875,6905,7000,6660,6620,6595,7370,7225,7045,7120,7425,7821,8032,8112,8258,7374,7993
2897_001.8,,,,,,,,,,,,,,,,,,,,,,,4857,4890,4875,6905,7000,6660,6620,6595,7370,7225,7045,7120,7425,7821,8032,8112,8258,7374,7993
2897_002.3,,,,,,,,,,,,,,,,,,,,,,,4857,4890,4875,6905,7000,6660,6620,6595,7370,7225,7045,7120,7425,7821,8032,8112,8258,7374,7993
2897_002.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2500,2500,2500,2232,2419
2899_000.0,6325,6325,6380,6490,6650,6650,6775,6695,6850,6945,6930,6555,6615,6900,9175,12965,13275,15133,16375,16250,16360,17465,17465,17570,11910,12440,12615,11995,11925,11875,11840,11605,9975,10085,10520,11078,11377,11491,11698,10446,11323
2899_000.2,4250,4250,4290,4365,4475,4475,4560,,5600,8360,8340,7840,7910,8250,11935,11510,12600,14365,14665,14550,14650,9400,15307,15400,12070,12605,12780,12155,12080,12035,15450,15145,15050,15220,15870,16713,17164,17336,17648,15760,17084
2899_000.4,4250,4250,4290,4365,4475,4475,4560,,5600,8360,8340,7840,7910,8250,11935,11510,12600,14365,14665,14550,14650,9400,15307,15400,12070,12605,12780,12155,12080,12035,15450,15145,15050,15220,15870,16713,17164,17336,17648,15760,17084
2899_000.8,2925,2925,2950,3000,3075,2920,2970,,5100,6105,6090,5570,5620,5860,5850,5910,7155,7870,8515,8450,8510,9085,13150,13230,13190,13770,13965,13280,15775,15710,15665,15530,15440,15610,16280,17142,17605,17781,18101,16164,17522
2899_001.2,2925,2925,2950,3000,3075,2920,2970,,5100,6105,6090,5570,5620,5860,5850,5910,7155,7870,8515,8450,8510,9085,9085,12725,12685,13245,13430,12770,12695,10910,10875,10660,13160,13305,13880,14614,15009,15159,15432,13781,14939
2899_001.7,2925,2925,2950,3000,3075,2920,2970,,5100,6105,6090,5570,5620,5860,5850,5910,7155,7870,8515,8450,8510,9085,9085,12725,12685,13245,13430,12770,12695,10910,10875,10660,13160,13305,13880,14614,15009,15159,15432,13781,14939
2899_002.4,2635,2635,2650,2700,2765,2765,2765,,4585,4775,4320,4510,4550,4780,4460,4505,5750,5960,6195,6895,7095,8260,8030,8235,12595,12940,13120,12480,12405,12355,8325,8160,8110,8200,8550,9005,9248,9340,9508,8491,9204
2899_003.5,2635,2635,2650,2700,2765,2765,2765,,4585,4775,4320,4510,4550,4780,4460,4505,5750,5960,6195,6895,7095,8260,8030,8235,12595,12940,13120,12480,12405,12355,8325,8160,8110,8200,8550,9005,9248,9340,9508,8491,9204
2899_004.1,850,850,860,875,900,900,920,,4585,4775,4320,4510,4550,4780,4460,4505,5750,5960,6195,6895,7095,8260,8145,8350,8470,8700,8820,8390,8340,8305,8280,8045,7995,8085,8435,8880,9120,9211,9377,8374,9077
2900_000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3332,3415,3476,3104,3365
2900_000.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3332,3415,3476,3104,3365
2900_000.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3332,3415,3476,3104,3365
2900_001.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3332,3415,3476,3104,3365
2900_002.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4969,5093,5185,4630,5019
2900_002.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4969,5093,5185,4630,5019
2900_003.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4969,5093,5185,4630,5019
2901_000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500,500,500,500,500
2901_000.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500,500,500,500,500
2902_000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2028,2078,2115,1888,2047
2902_000.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2028,2078,2115,1888,2047
2902_000.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2028,2078,2115,1888,2047
2902_001.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2028,2078,2115,1888,2047
2902_001.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2028,2078,2115,1888,2047
2902_002.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2028,2078,2115,1888,2047
2903_000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500,500,500,500,500
2906_002.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000,995,990,985,965,6210,6275,6545,6893,7079,7150,7279,6500,7046
2907_000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1009,1034,1053,940,1019
2907_001.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1009,1034,1053,940,1019
2909_000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500,500,500,500,500
2911_000.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500,500,500,500,500
2913_000.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5000,5000,5000,4465,4840
2915_000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1000,950,945,940,940,920,895,905,945,995,1022,1032,1051,939,1018
2915_000.4,,,,,,,,,,,,,,,,,,,,,,,,,,,1000,950,945,940,940,920,895,905,945,995,1022,1032,1051,939,1018
2915_001.5,,,,,,,,,,,,,,,,,,,,,,,,,,,1000,950,945,940,940,920,895,905,945,995,1022,1032,1051,939,1018
2915_002.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1000,950,945,940,940,920,895,905,945,995,1022,1032,1051,939,1018
2918_000.0,,,,,,,,,,,,,,,,,,,,,,,2492,2350,2345,2450,2485,2360,2350,1810,1805,1765,1725,1740,1815,1913,1965,1985,2021,1805,1957
2918_000.2,,,,,,,,,,,,,,,,,,,,,,,3185,3205,3195,3335,3380,3215,2960,2950,2940,2880,2810,2840,2965,3120,3204,3236,3294,2942,3189
2918_001.0,,,,,,,,,,,,,,,,,,,,,,,3250,3960,3950,4125,4185,3980,3955,3145,3135,3075,2995,3030,3160,3327,3417,3451,3513,3137,3401
2918_002.1,,,,,,,,,,,,,,,,,,,,,,,3250,3960,3970,3565,3615,3440,3645,3630,3620,3545,3455,3495,3645,3838,3942,3981,4053,3619,3923
2918_002.4,,,,,,,,,,,,,,,,,,,,,,,3250,3960,3970,3565,3615,3440,3645,3630,3620,3545,3455,3495,3645,3838,3942,3981,4053,3619,3923
2918_003.1,,,,,,,,,,,,,,,,,,,,,,,3250,3960,3970,3565,3615,3440,3645,3630,3620,3545,3455,3495,3645,3838,3942,3981,4053,3619,3923
2918_003.8,,,,,,,,,,,,,,,,,,,,,,,3250,4615,4605,4810,4875,4640,4610,4590,4580,4485,4375,4420,4610,4856,4987,5037,5128,4579,4964
2918_004.8,,,,,,,,,,,,,,,,,,,,,,,,,,,2000,1900,1890,1885,4835,4740,4620,4670,4875,5131,5270,5323,5419,4839,5245
2920_000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1000,950,945,940,3885,3810,3715,3755,3915,4122,4233,4275,4352,3886,4212
2920_001.1,,,,,,,,,,,,,,,,,,,,,,,,,,,1000,950,945,940,3885,3810,3715,3755,3915,4122,4233,4275,4352,3886,4212
2920_005.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1000,950,945,940,3885,3810,3715,3755,3915,4122,4233,4275,4352,3886,4212
2920_005.1,,,,,,,,,,,,,,,,,,,,,,,,,,,1000,950,945,940,940,920,895,905,945,995,1022,1032,1051,939,1018
2922_000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000,1053,1081,1092,1112,993,1076
2922_001.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000,1053,1081,1092,1112,993,1076
2922_001.4,,,,,,,,,,,,,,,,,,,,,,,940,950,6740,7040,7140,6790,6750,6720,6700,6565,6405,6475,6750,7109,7301,7374,7507,6704,7267
2923_000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1000,950,945,940,940,920,895,905,945,995,1022,1032,1051,939,1018
2924_000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2000,1900,1890,2310,2300,2255,2200,2225,2320,2443,2509,2534,2580,2304,2498
2924_000.5,,,,,,,,,,,,,,,,,,,,,,,,,,,2000,1900,1890,2310,2300,2255,2200,2225,2320,2443,2509,2534,2580,2304,2498
2924_001.4,,,,,,,,,,,,,,,,,,,,,,,,,,,2000,1900,1890,2310,2300,2255,2200,2225,2320,2443,2509,2534,2580,2304,2498
2925_000.0,,,,,,,,,,,,,,,,,,,,,,,6420,6460,6440,13640,13830,13155,13075,13020,12985,12725,12645,12785,13335,14043,14422,14566,14828,13241,14353
2925_001.2,,,,,,,,,,,,,,,,,,,,,,,6420,6460,6440,13640,13830,13155,13075,13020,12985,12725,12645,12785,13335,14043,14422,14566,14828,13241,14353
2925_001.5,,,,,,,,,,,,,,,,,,,,,,,6420,6460,6440,13640,13830,13155,13075,13020,12985,12725,12645,12785,13335,14043,14422,14566,14828,13241,14353
2926_000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1000,950,945,940,3470,3400,3315,3350,3495,3681,3780,3818,3887,3471,3763
2926_000.6,,,,,,,,,,,,,,,,,,,,,,,,,,,1000,950,945,940,3470,3400,3315,3350,3495,3681,3780,3818,3887,3471,3763
2926_001.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1000,950,945,940,3470,3400,3315,3350,3495,3681,3780,3818,3887,3471,3763
2927_000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500,500,500,500,500
2928_000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2900,2972,3025,2701,2928
2928_000.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2900,2972,3025,2701,2928
2928_001.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2900,2972,3025,2701,2928
2929_000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500,500,500,500,500
2929_000.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500,500,500,500,500
2929_001.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500,500,500,500,500
2929_001.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500,500,500,500,500
2929_002.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500,500,500,500,500
2930_000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3448,3534,3598,3213,3483
2931_000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000,1000,1000,1000,1000
2931_000.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000,1000,1000,1000,1000
2931_001.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000,1000,1000,1000,1000
2931_001.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500,500,500,500,500
2932_000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2000,1900,1890,1885,1875,1840,1795,1815,1890,1991,2045,2065,2102,1877,2035
2932_000.8,,,,,,,,,,,,,,,,,,,,,,,,,,,2000,1900,1890,1885,1875,1840,1795,1815,1890,1991,2045,2065,2102,1877,2035
2932_001.3,,,,,,,,,,,,,,,,,,,,,,,,,,,2000,1900,1890,1885,1875,1840,1795,1815,1890,1991,2045,2065,2102,1877,2035
2932_002.2,,,,,,,,,,,,,,,,,,,,,,,,,,,2000,1900,1890,1885,1875,1840,1795,1815,1890,1991,2045,2065,2102,1877,2035
2932_002.7,,,,,,,,,,,,,,,,,,,,,,,,,,,2000,1900,1890,1885,1875,1840,1795,1815,1890,1991,2045,2065,2102,1877,2035
2932_003.7,,,,,,,,,,,,,,,,,,,,,,,,,,,2000,1900,1890,1885,1875,1840,1795,1815,1890,1991,2045,2065,2102,1877,2035
2933_000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500,500,500,500,500
2933_000.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500,500,500,500,500
2933_002.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500,500,500,500,500
2933_002.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500,500,500,500,500
2933_003.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500,500,500,500,500
2935_000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500,500,500,500,500
2935_001.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500,500,500,500,500
2935_001.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500,500,500,500,500
2936_000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1000,950,945,940,940,920,895,905,945,995,1022,1032,1051,939,1018
2936_000.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500,500,500,500,500
2936_001.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500,500,500,500,500
2937_003.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500,500,500,500,500
2937_004.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500,500,500,500,500
2938_000.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1814,1859,1892,1689,1831
2938_000.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1814,1859,1892,1689,1831
2939_000.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000,1000,1000,1000,1000
2939_001.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000,1000,1000,1000,1000
2939_001.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000,1000,1000,1000,1000
2939_002.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000,1000,1000,1000,1000
2940_000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1000,950,945,940,8180,8015,7815,7900,8240,8679,8913,9002,9164,8183,8870
2940_000.4,,,,,,,,,,,,,,,,,,,,,,,,,,,1000,950,945,940,8180,8015,7815,7900,8240,8679,8913,9002,9164,8183,8870
2940_000.6,,,,,,,,,,,,,,,,,,,,,,,,,,,1000,950,945,940,8180,8015,7815,7900,8240,8679,8913,9002,9164,8183,8870
2941_000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000,1000,1000,1000,1000
2943_000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000,1000,1000,1000,1000
2943_001.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000,1000,1000,1000,1000
2943_001.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000,1000,1000,1000,1000
